"","id","submitted","updated","title","abstract","authors","affiliations","link_abstract","link_pdf","link_doi","comment","journal_ref","doi","primary_category","categories"
"1","hep-ph/9209216v1","1992-09-04 19:55:10","1992-09-04 19:55:10","A Comparison of the Use of Binary Decision Trees and Neural Networks in
  Top Quark Detection","  The use of neural networks for signal vs.~background discrimination in
high-energy physics experiment has been investigated and has compared favorably
with the efficiency of traditional kinematic cuts. Recent work in top quark
identification produced a neural network that, for a given top quark mass,
yielded a higher signal to background ratio in Monte Carlo simulation than a
corresponding set of conventional cuts. In this article we discuss another
pattern-recognition algorithm, the binary decision tree. We have applied a
binary decision tree to top quark identification at the Tevatron and found it
to be comparable in performance to the neural network. Furthermore,
reservations about the ""black box"" nature of neural network discriminators do
not apply to binary decision trees; a binary decision tree may be reduced to a
set of kinematic cuts subject to conventional error analysis.
","David Bowser-Chao|Debra L. Dzialo","","http://arxiv.org/abs/hep-ph/9209216v1","http://arxiv.org/pdf/hep-ph/9209216v1","http://dx.doi.org/10.1103/PhysRevD.47.1900","14pp. Plain TeX + mtexsis.tex (latter available through 'get
  mtexsis.tex'.) Two postscript files avail. by email","Phys.Rev. D47 (1993) 1900-1905","10.1103/PhysRevD.47.1900","hep-ph","hep-ph"
"2","cond-mat/9304026v1","1993-04-16 07:43:08","1993-04-16 07:43:08","Transition from regular to complex behaviour in a discrete deterministic
  asymmetric neural network model","  We study the long time behaviour of the transient before the collapse on the
periodic attractors of a discrete deterministic asymmetric neural networks
model. The system has a finite number of possible states so it is not possible
to use the term chaos in the usual sense of sensitive dependence on the initial
condition. Nevertheless, at varying the asymmetry parameter, $k$, one observes
a transition from ordered motion (i.e. short transients and short periods on
the attractors) to a ``complex'' temporal behaviour. This transition takes
place for the same value $k_{\rm c}$ at which one has a change for the mean
transient length from a power law in the size of the system ($N$) to an
exponential law in $N$. The ``complex'' behaviour during the transient shows
strong analogies with the chaotic behaviour: decay of temporal correlations,
positive Shannon entropy, non-constant Renyi entropies of different orders.
Moreover the transition is very similar to that one for the intermittent
transition in chaotic systems: scaling law for the Shannon entropy and strong
fluctuations of the ``effective Shannon entropy'' along the transient, for $k >
k_{\rm c}$.
","A. Crisanti|M falcioni|A. Vulpiani","","http://arxiv.org/abs/cond-mat/9304026v1","http://arxiv.org/pdf/cond-mat/9304026v1","http://dx.doi.org/10.1088/0305-4470/26/14/011","18 pages + 6 figures, TeX dialect: Plain TeX + IOP macros (included)","J.Phys. A26 (1993) 3441-3454","10.1088/0305-4470/26/14/011","cond-mat","cond-mat"
"3","comp-gas/9305001v1","1993-05-13 22:26:11","1993-05-13 22:26:11","Identification of Continuous-Time Dynamical Systems: Neural Network
  Based Algorithms and Parallel Implementation","  Time-delay mappings constructed using neural networks have proven successful
in performing nonlinear system identification; however, because of their
discrete nature, their use in bifurcation analysis of continuous-time systems
is limited. This shortcoming can be avoided by embedding the neural networks in
a training algorithm that mimics a numerical integrator. Both explicit and
implicit integrators can be used. The former case is based on repeated
evaluations of the network in a feedforward implementation; the latter relies
on a recurrent network implementation. Here the algorithms and their
implementation on parallel machines (SIMD and MIMD architectures) are
discussed.
","Robert M. Farber|Alan S. Lapedes|Ramiro Rico-Martinez|Ioannis G. Kevrekidis","Theoretical Division, LANL|Theoretical Division, LANL|Department of Chemical Engineering, Princeton University|Department of Chemical Engineering, Princeton University","http://arxiv.org/abs/comp-gas/9305001v1","http://arxiv.org/pdf/comp-gas/9305001v1","","Postscript file","","","comp-gas","comp-gas|adap-org|nlin.AO|nlin.CG"
"4","comp-gas/9305004v1","1993-05-27 00:48:00","1993-05-27 00:48:00","Global Bifurcations in Rayleigh-Benard Convection: Experiments,
  Empirical Maps and Numerical Bifurcation Analysis","  We use nonlinear signal processing techniques, based on artificial neural
networks, to construct an empirical mapping from experimental Rayleigh-Benard
convection data in the quasiperiodic regime. The data, in the form of a
one-parameter sequence of Poincare sections in the interior of a mode-locked
region (resonance horn), are indicative of a complicated interplay of local and
global bifurcations with respect to the experimentally varied Rayleigh number.
The dynamic phenomena apparent in the data include period doublings, complex
intermittent behavior, secondary Hopf bifurcations, and chaotic dynamics. We
use the fitted map to reconstruct the experimental dynamics and to explore the
associated local and global bifurcation structures in phase space. Using
numerical bifurcation techniques we locate the stable and unstable periodic
solutions, calculate eigenvalues, approximate invariant manifolds of saddle
type solutions and identify bifurcation points. This approach constitutes a
promising data post-processing procedure for investigating phase space and
parameter space of real experimental systems; it allows us to infer phase space
structures which the experiments can only probe with limited measurement
precision and only at a discrete number of operating parameter settings.
","I. G. Kevrekidis|R. Rico-Martinez|R. E. Ecke|R. M. Farber|A. S. Lapedes","Department of Chemical Engineering, Princeton University, Princeton, NJ 08544-5263|Department of Chemical Engineering, Princeton University, Princeton, NJ 08544-5263|Physics Division and Center for Nonlinear Studies, Los Alamos National Laboratory, Los Alamos, NM 87545|Theoretical Division, Los Alamos National Laboratory, Los Alamos, NM 87545|Theoretical Division, Los Alamos National Laboratory, Los Alamos, NM 87545","http://arxiv.org/abs/comp-gas/9305004v1","http://arxiv.org/pdf/comp-gas/9305004v1","http://dx.doi.org/10.1016/0167-2789(94)90152-X","Additional figures available via anonymous ftp to princeton.edu","","10.1016/0167-2789(94)90152-X","comp-gas","comp-gas|chao-dyn|nlin.CD|nlin.CG"
"5","adap-org/9305002v1","1993-06-02 20:55:57","1993-06-02 20:55:57","Biased Random-Walk Learning: A Neurobiological Correlate to
  Trial-and-Error","  Neural network models offer a theoretical testbed for the study of learning
at the cellular level. The only experimentally verified learning rule, Hebb's
rule, is extremely limited in its ability to train networks to perform complex
tasks. An identified cellular mechanism responsible for Hebbian-type long-term
potentiation, the NMDA receptor, is highly versatile. Its function and efficacy
are modulated by a wide variety of compounds and conditions and are likely to
be directed by non-local phenomena. Furthermore, it has been demonstrated that
NMDA receptors are not essential for some types of learning. We have shown that
another neural network learning rule, the chemotaxis algorithm, is
theoretically much more powerful than Hebb's rule and is consistent with
experimental data. A biased random-walk in synaptic weight space is a learning
rule immanent in nervous activity and may account for some types of learning --
notably the acquisition of skilled movement.
","Russell W. Anderson","Los Alamos National Laboratory","http://arxiv.org/abs/adap-org/9305002v1","http://arxiv.org/pdf/adap-org/9305002v1","","In press: Progress in Neural Networks","","","adap-org","adap-org|nlin.AO|q-bio"
"6","cond-mat/9306032v1","1993-06-15 01:54:55","1993-06-15 01:54:55","Optimal storage capacity of neural networks at finite temperatures","  Gardner's analysis of the optimal storage capacity of neural networks is
extended to study finite-temperature effects. The typical volume of the space
of interactions is calculated for strongly-diluted networks as a function of
the storage ratio $\alpha$, temperature $T$, and the tolerance parameter $m$,
from which the optimal storage capacity $\alpha_c$ is obtained as a function of
$T$ and $m$. At zero temperature it is found that $\alpha_c = 2$ regardless of
$m$ while $\alpha_c$ in general increases with the tolerance at finite
temperatures. We show how the best performance for given $\alpha$ and $T$ is
obtained, which reveals a first-order transition from high-quality performance
to low-quality one at low temperatures. An approximate criterion for recalling,
which is valid near $m=1$, is also discussed.
","G. M. Shimi|D. Kim|M. Y. Choi","Department of Physics and Center for Theoretical Physics Seoul National University, Seoul 151-742, Korea|Department of Physics and Center for Theoretical Physics Seoul National University, Seoul 151-742, Korea|Department of Physics and Center for Theoretical Physics Seoul National University, Seoul 151-742, Korea","http://arxiv.org/abs/cond-mat/9306032v1","http://arxiv.org/pdf/cond-mat/9306032v1","","22 pages in LaTex, 4 figures upon request, SNUTP-93-26","","","cond-mat","cond-mat"
"7","cond-mat/9306039v1","1993-06-17 15:15:00","1993-06-17 15:15:00","Neural networks with high order connections","  We present results for two different kinds of high order connections between
neurons acting as corrections to the Hopfield model. Equilibrium properties are
analyzed using the replica mean-field theory and compared with numerical
simulations. An optimal learning algorithm for fourth order connections is
given that improves the storage capacity without increasing the weight of the
higher order term. While the behavior of one of the models qualitatively
resembles the original Hopfield one, the other presents a new and very rich
behavior: depending on the strength of the fourth order connections and the
temperature, the system presents two distinct retrieval regions separated by a
gap, as well as several phase transitions. Also, the spin glass states seems to
disappear above a certain value of the load parameter $\alpha$, $\alpha_g$.
","J. J. Arenzon|R. M. C. de Almeida","","http://arxiv.org/abs/cond-mat/9306039v1","http://arxiv.org/pdf/cond-mat/9306039v1","http://dx.doi.org/10.1103/PhysRevE.48.4060","24 pages, latex + 14 figures upon request, IFUFRGS-JJA-02-93","Phys. Rev. E 47 (1993) 4060","10.1103/PhysRevE.48.4060","cond-mat","cond-mat|q-bio.NC"
"8","cond-mat/9308005v1","1993-08-04 16:40:00","1993-08-04 16:40:00","Stochastic Neural Networks with the Weighted Hebb Rule","  Neural networks with synaptic weights constructed according to the weighted
Hebb rule, a variant of the familiar Hebb rule, are studied in the presence of
noise(finite temperature), when the number of stored patterns is finite and in
the limit that the number of neurons $N\rightarrow
  \infty$. The fact that different patterns enter the synaptic rule with
different weights changes the configuration of the free energy surface. For a
general choice of weights not all of the patterns are stored as {\sl global}
minima of the free energy function. However, as for the case of the usual Hebb
rule, there exists a temperature range in which only the stored patterns are
minima of the free energy. In particular, in the presence of a single extra
pattern stored with an appropriate weight in the synaptic rule, the temperature
at which the spurious minima of the free energy are eliminated is significantly
lower than for a similar network without this extra pattern. The convergence
time of the network, together with the overlaps of the equilibria of the
network with the stored patterns, can thereby be improved considerably.
","Caren Marzban|Raju Viswanathan","","http://arxiv.org/abs/cond-mat/9308005v1","http://arxiv.org/pdf/cond-mat/9308005v1","http://dx.doi.org/10.1016/0375-9601(94)90570-3","14 pages, OKHEP 93-004","","10.1016/0375-9601(94)90570-3","cond-mat","cond-mat|adap-org|nlin.AO"
"9","cond-mat/9308018v3","1993-08-12 06:45:14","1999-03-27 06:20:13","Superconductivity and Localization","  We present a review of theoretical and experimental works on the problem of
mutual interplay of Anderson localization and superconductivity in strongly
disordered systems. We start with brief discussion of modern aspects of
localization theory including the basic concept of scaling, self-consistent
theory and interaction effects. After that we analyze disorder effects on
Cooper pairing and superconducting transition temperature as well as
Ginzburg-Landau equations for superconductors which are close to the Anderson
transition. A necessary generalization of usual theory of ``dirty''
superconductors is formulated which allows to analyze anomalies of the main
superconducting properties close to disorder-induced metal-insulator
transition. Under very rigid conditions superconductivity may persist even in
the localized phase (Anderson insulator).Strong disordering leads to
considerable reduction of superconducting transition temperature T_{c} and to
important anomalies in the behavior of the upper critical field H_{c2}.
Fluctuation effects are also discussed. In the vicinity of Anderson transition
inhomogeneous superconductivity appears due to statistical fluctuations of the
local density of states. We briefly discuss a number of experiments
demonstrating superconductivity close to the Anderson transition both in
traditional and high-T_{c} superconductors. In traditional systems
superconductivity is in most cases destroyed before metal-insulator transition.
In case of high-T_{c} superconductors a number of anomalies show that
superconductivity is apparently conserved in localized phase before it is
suppressed by strong enough disorder.
","M. V. Sadovskii","","http://arxiv.org/abs/cond-mat/9308018v3","http://arxiv.org/pdf/cond-mat/9308018v3","","120 pages, 41 figures, RevTeX 3.0, Published in Physics Reports
  282,No.5&6,225 (1997), figures added","","","cond-mat.dis-nn","cond-mat.dis-nn|cond-mat.supr-con"
"10","cond-mat/9310054v1","1993-10-23 10:27:21","1993-10-23 10:27:21","Mean Field Theory of Sandpile Avalanches: from the Intermittent to the
  Continuous Flow Regime","  We model the dynamics of avalanches in granular assemblies in partly filled
rotating cylinders using a mean-field approach. We show that, upon varying the
cylinder angular velocity $\omega$, the system undergoes a hysteresis cycle
between an intermittent and a continuous flow regimes. In the intermittent flow
regime, and approaching the transition, the avalanche duration exhibits
critical slowing down with a temporal power-law divergence. Upon adding a white
noise term, and close to the transition, the distribution of avalanche
durations is also a power-law. The hysteresis, as well as the statistics of
avalanche durations, are in good qualitative agreement with recent experiments
in partly filled rotating cylinders.
","V. G. Benza|Franco Nori|Oscar Pla","","http://arxiv.org/abs/cond-mat/9310054v1","http://arxiv.org/pdf/cond-mat/9310054v1","http://dx.doi.org/10.1103/PhysRevE.48.4095","4 pages, RevTeX 3.0, postscript figures 1, 3 and 4 appended.","Phys. Rev. E 48 (1993) 4095-4098","10.1103/PhysRevE.48.4095","cond-mat.dis-nn","cond-mat.dis-nn|adap-org|nlin.AO"
