"","id","submitted","updated","title","abstract","authors","affiliations","link_abstract","link_pdf","link_doi","comment","journal_ref","doi","primary_category","categories"
"1","gr-qc/9301009v3","1993-01-11 16:34:46","1993-05-07 21:28:45","Cosmology, Oscillating Physics and Oscilllating Biology","  According to recent reports there is an excess correlation and an apparent
regularity in the galaxy one-dimensional polar distribution with a
characteristic scale of 128 $h^{-1}$ Mpc. This aparent spatial periodicity can
be naturally explained by a time oscillation of the gravitational constant $G$.
On the other hand, periodic growth features of bivalve and coral fossiles
appear to show a periodic component in the time dependence of the number of
days per year. In this letter we show that a time oscillating gravitational
constant with similar period and amplitude can explain such a feature.
","Pablo Sisterna|Hector Vucetich","","http://arxiv.org/abs/gr-qc/9301009v3","http://arxiv.org/pdf/gr-qc/9301009v3","http://dx.doi.org/10.1103/PhysRevLett.72.454","9 pages. latex using revtex. This revised version is supposed to be
  free of e-mail noise","Phys.Rev.Lett.72:454-457,1994","10.1103/PhysRevLett.72.454","gr-qc","gr-qc"
"2","cond-mat/9303024v1","1993-03-13 00:23:21","1993-03-13 00:23:21","Prediction of Peptide Conformation by the Multicanonical Algorithm","  We test the effectiveness of the multicanonical algorithm for the tertiary
structure prediction of peptides and proteins. As a simple example we study
Met-enkephalin. The lowest-energy conformation obtained agrees with that
determined by other methods such as Monte Carlo simulated annealing. But unlike
to simulated annealing the relationship to the canonical ensemble remains
exactly controlled. Thermodynamic quantities at various temperature can be
calculated from one run.
","Ulrich H. E. Hansmann|Yuko Okamoto","","http://arxiv.org/abs/cond-mat/9303024v1","http://arxiv.org/pdf/cond-mat/9303024v1","","5 pages, Latex file with attached postscript files, FSU-SCRI-93C-34","","","cond-mat","cond-mat|q-bio"
"3","chao-dyn/9303017v2","1993-03-31 01:19:34","1993-04-01 08:19:34","The Escape Problem for Irreversible Systems","  The problem of noise-induced escape from a metastable state arises in
physics, chemistry, biology, systems engineering, and other areas. The problem
is well understood when the underlying dynamics of the system obey detailed
balance. When this assumption fails many of the results of classical
transition-rate theory no longer apply, and no general method exists for
computing the weak-noise asymptotics of fundamental quantities such as the mean
escape time. In this paper we present a general technique for analysing the
weak-noise limit of a wide range of stochastically perturbed continuous-time
nonlinear dynamical systems. We simplify the original problem, which involves
solving a partial differential equation, into one in which only ordinary
differential equations need be solved. This allows us to resolve some old
issues for the case when detailed balance holds. When it does not hold, we show
how the formula for the mean escape time asymptotics depends on the dynamics of
the system along the most probable escape path. We also present new results on
short-time behavior and discuss the possibility of focusing along the escape
path.
","Robert S. Maier|D. L. Stein","U. Arizona|U. Arizona","http://arxiv.org/abs/chao-dyn/9303017v2","http://arxiv.org/pdf/chao-dyn/9303017v2","http://dx.doi.org/10.1103/PhysRevE.48.931","24 pages, APS revtex macros (version 2.1) now available from PBB via
  `get oldrevtex.sty'","Phys. Rev. E 48 (1993) 931-938","10.1103/PhysRevE.48.931","chao-dyn","chao-dyn|nlin.CD"
"4","cond-mat/9304034v1","1993-04-20 07:30:33","1993-04-20 07:30:33","Solitons and 1/f Noise in Molecular Chains","  Davydov's model of solitons in alpha-helix protein chains is shown to display
features of self-organized criticality (SOC), i.e., power law behaviour of
correlations in space and 1/f-noise, as a consequence of considering random
peptide group displacements from their (periodic) equilibrium positions along a
chain. This may shed light on a basic mechanism leading to obtain flicker noise
in alpha-helix protein chains and to predict a SOC regime in biomolecular
structures from first principles. We believe our treatment of 1/f noise to be
of some relevance to recent findings due to Voss on DNA [Phys. Rev. Lett. 68,
3805 (1992)].
","H. Rosu|E. Canessa","ICTP-Trieste, Italy|ICTP-Trieste, Italy","http://arxiv.org/abs/cond-mat/9304034v1","http://arxiv.org/pdf/cond-mat/9304034v1","http://dx.doi.org/10.1103/PhysRevE.47.R3818","IC/93/22","","10.1103/PhysRevE.47.R3818","cond-mat","cond-mat|q-bio"
"5","adap-org/9305002v1","1993-06-02 20:55:57","1993-06-02 20:55:57","Biased Random-Walk Learning: A Neurobiological Correlate to
  Trial-and-Error","  Neural network models offer a theoretical testbed for the study of learning
at the cellular level. The only experimentally verified learning rule, Hebb's
rule, is extremely limited in its ability to train networks to perform complex
tasks. An identified cellular mechanism responsible for Hebbian-type long-term
potentiation, the NMDA receptor, is highly versatile. Its function and efficacy
are modulated by a wide variety of compounds and conditions and are likely to
be directed by non-local phenomena. Furthermore, it has been demonstrated that
NMDA receptors are not essential for some types of learning. We have shown that
another neural network learning rule, the chemotaxis algorithm, is
theoretically much more powerful than Hebb's rule and is consistent with
experimental data. A biased random-walk in synaptic weight space is a learning
rule immanent in nervous activity and may account for some types of learning --
notably the acquisition of skilled movement.
","Russell W. Anderson","Los Alamos National Laboratory","http://arxiv.org/abs/adap-org/9305002v1","http://arxiv.org/pdf/adap-org/9305002v1","","In press: Progress in Neural Networks","","","adap-org","adap-org|nlin.AO|q-bio"
"6","patt-sol/9307001v1","1993-07-18 05:39:20","1993-07-18 05:39:20","A quantitative measurement of spatial order in ventricular fibrillation","  As an objective measurement of spatial order in ventricular fibrillation
(VF), spatial correlation functions and their characteristic lengths were
estimated from epicardial electrograms of pigs in VF. The correlation length of
the VF in pigs was found to be approximately 4-10 mm, varying as fibrillation
progressed. The degree of correlation decreased in the first 4 seconds after
fibrillation then increased over the next minute. The correlation length is
much smaller than the scale of the heart, suggesting that many independent
regions of activity exist on the epicardium at any one time. On the other hand,
the correlation length is 4 to 10 times the interelectrode spacing, indicating
that some coherence is present. These results imply that the heart behaves
during VF as a high-dimensional, but not random, system involving many spatial
degrees of freedom, which may explain the lack of convergence of fractal
dimension estimates reported in the literature. Changes in the correlation
length also suggest that VF reorganizes slightly in the first minute after an
initial breakdown in structure.
","P. V. Bayly|E. E. Johnson|P. D. Wolf|H. S. Greenside|W. M. Smith|R. E. Ideker","Duke University|Duke University|Duke University|Duke University|Duke University|Duke University","http://arxiv.org/abs/patt-sol/9307001v1","http://arxiv.org/pdf/patt-sol/9307001v1","","20 pages with 13 Postscript figures. To appear in the J.
  Cardiovascular Electrophysiology, 1993","","","patt-sol","patt-sol|nlin.PS|q-bio"
"7","adap-org/9311001v1","1993-11-25 05:05:38","1993-11-25 05:05:38","Cell Division, Differentiation and Dynamic Clustering","  A novel mechanism for cell differentiation is proposed, based on the dynamic
clustering in a globally coupled chaotic system. A simple model with metabolic
reaction, active transport of chemicals from media, and cell division is found
to show three successive stages with the growth of the number of cells;
coherent growth, dynamic clustering, and fixed cell differentiation. At the
last stage, disparity in activities, germ line segregation, somatic cell
differentiation, and homeochaotic stability against external perturbation are
found. Our results, in consistency with the experiments of the preceding paper,
imply that cell differentiation can occur without a spatial pattern. From
dynamical systems viewpoint, the new concept of ``open chaos"" is proposed, as a
novel and general scenario for systems with growing numbers of elements, also
seen in economics and sociology.A
","Kunihiko Kaneko|Tetsuya Yomo","University of Tokyo, Komaba|Osaka University","http://arxiv.org/abs/adap-org/9311001v1","http://arxiv.org/pdf/adap-org/9311001v1","http://dx.doi.org/10.1016/0167-2789(94)90277-1","submitted to Physica D; figures are not included","","10.1016/0167-2789(94)90277-1","adap-org","adap-org|nlin.AO|q-bio"
"8","adap-org/9311002v1","1993-11-25 05:20:08","1993-11-25 05:20:08","Imitation Games","  Mutual imitation games among artificial birds are studied. By employing a
variety of mappings and game rules, the evolution to the edge between chaos and
windows is universally confirmed. Some other general features are observed,
including punctuated equilibria, and successive alternations of dominant
species with temporal complexity. Diversity of species aided by the
symbolization of artificial birds' song are also shown.
","Kunihiko Kaneko|Junji Suzuki","University of Tokyo,Komaba|University of Tokyo,Komaba","http://arxiv.org/abs/adap-org/9311002v1","http://arxiv.org/pdf/adap-org/9311002v1","","submitted to Phyisca D, no figures are included","","","adap-org","adap-org|nlin.AO|q-bio"
"9","chao-dyn/9311008v1","1993-11-25 05:27:15","1993-11-25 05:27:15","Relevance of Dynamic Clustering to Biological Networks","  Network of nonlinear dynamical elements often show clustering of
synchronization by chaotic instability. Relevance of the clustering to
ecological, immune, neural, and cellular networks is discussed, with the
emphasis of partially ordered states with chaotic itinerancy. First, clustering
with bit structures in a hypercubic lattice is studied. Spontaneous formation
and destruction of relevant bits are found, which give self-organizing, and
chaotic genetic algorithms. When spontaneous changes of effective couplings are
introduced, chaotic itinerancy of clusterings is widely seen through a feedback
mechanism, which supports dynamic stability allowing for complexity and
diversity, known as homeochaos. Second, synaptic dynamics of couplings is
studied in relation with neural dynamics. The clustering structure is formed
with a balance between external inputs and internal dynamics. Last, an
extension allowing for the growth of the number of elements is given, in
connection with cell differentiation. Effective time sharing system of
resources is formed in partially ordered states.
","Kunihiko Kaneko","University of Tokyo, Komaba","http://arxiv.org/abs/chao-dyn/9311008v1","http://arxiv.org/pdf/chao-dyn/9311008v1","http://dx.doi.org/10.1016/0167-2789(94)90274-7","submitted to Physica D, no figures included","","10.1016/0167-2789(94)90274-7","chao-dyn","chao-dyn|nlin.CD|q-bio"
"10","adap-org/9311003v1","1993-11-25 05:31:28","1993-11-25 05:31:28","Chaos as a Source of Complexity and Diversity in Evolution","  The relevance of chaos to evolution is discussed in the context of the origin
and maintenance of diversity and complexity. Evolution to the edge of chaos is
demonstrated in an imitation game. As an origin of diversity, dynamic
clustering of identical chaotic elements, globally coupled each to other, is
briefly reviewed. The clustering is extended to nonlinear dynamics on
hypercubic lattices, which enables us to construct a self-organizing genetic
algorithm. A mechanism of maintenance of diversity, ``homeochaos"", is given in
an ecological system with interaction among many species. Homeochaos provides a
dynamic stability sustained by high-dimensional weak chaos. A novel mechanism
of cell differentiation is presented, based on dynamic clustering. Here, a new
concept -- ``open chaos"" -- is proposed for the instability in a dynamical
system with growing degrees of freedom. It is suggested that studies based on
interacting chaotic elements can replace both top-down and bottom-up
approaches.
","Kunihiko Kaneko","University of Tokyo, Komaba","http://arxiv.org/abs/adap-org/9311003v1","http://arxiv.org/pdf/adap-org/9311003v1","","to appear in Artificial Life","","","adap-org","adap-org|nlin.AO|q-bio"
