"value" "cell"
"1" 9 "Lymp"
"2" 9.4 "Lymp"
"3" 4.7 "Lymp"
"4" 4.8 "Lymp"
"5" 8.9 "Lymp"
"6" 4.9 "Lymp"
"7" 8.4 "Lymp"
"8" 5.9 "Lymp"
"9" 6.3 "Lymp"
"10" 5.7 "Lymp"
"11" 5 "Lymp"
"12" 3.5 "Lymp"
"13" 7.8 "Lymp"
"14" 10.4 "Lymp"
"15" 8 "Lymp"
"16" 8 "Lymp"
"17" 8.6 "Lymp"
"18" 7 "Lymp"
"19" 6.8 "Lymp"
"20" 7.1 "Lymp"
"21" 5.7 "Lymp"
"22" 7.6 "Lymp"
"23" 6.2 "Lymp"
"24" 7.1 "Lymp"
"25" 7.4 "Lymp"
"26" 8.7 "Lymp"
"27" 4.9 "Lymp"
"28" 7.4 "Lymp"
"29" 6.4 "Lymp"
"30" 7.1 "Lymp"
"31" 6.3 "Lymp"
"32" 8.8 "Lymp"
"33" 8.8 "Lymp"
"34" 5.2 "Lymp"
"35" 7.1 "Lymp"
"36" 5.3 "Lymp"
"37" 4.7 "Lymp"
"38" 8.4 "Lymp"
"39" 6.4 "Lymp"
"40" 8.3 "Lymp"
"41" 12.6 "Tumor"
"42" 14.6 "Tumor"
"43" 16.2 "Tumor"
"44" 23.9 "Tumor"
"45" 23.3 "Tumor"
"46" 17.1 "Tumor"
"47" 20 "Tumor"
"48" 21 "Tumor"
"49" 19.1 "Tumor"
"50" 19.4 "Tumor"
"51" 16.7 "Tumor"
"52" 15.9 "Tumor"
"53" 15.8 "Tumor"
"54" 16 "Tumor"
"55" 17.9 "Tumor"
"56" 13.4 "Tumor"
"57" 19.1 "Tumor"
"58" 16.6 "Tumor"
"59" 18.9 "Tumor"
"60" 18.7 "Tumor"
"61" 20 "Tumor"
"62" 17.8 "Tumor"
"63" 13.9 "Tumor"
"64" 22.1 "Tumor"
"65" 13.9 "Tumor"
"66" 18.3 "Tumor"
"67" 22.8 "Tumor"
"68" 13 "Tumor"
"69" 17.9 "Tumor"
"70" 15.2 "Tumor"
"71" 17.7 "Tumor"
"72" 15.1 "Tumor"
"73" 16.9 "Tumor"
"74" 16.4 "Tumor"
"75" 22.8 "Tumor"
"76" 19.4 "Tumor"
"77" 19.6 "Tumor"
"78" 18.4 "Tumor"
"79" 18.2 "Tumor"
"80" 20.7 "Tumor"
