type x1 x2 y
1 99 12 58
2 95 12 58
3 94 12 59
1 95 11 55
2 97 12 55
3 95 12 56
1 99 13 59
2 100 13 60
3 99 13 62
1 99 13 55
2 100 13 55
3 99 11 57
1 102 12 60
2 102 13 60
3 99 14 61
1 101 12 57
2 105 12 58
3 102 12 60
1 102 12 57
2 102 13 57
3 99 13 58
1 103 13 61
2 102 14 62
3 101 13 63
1 102 13 58
2 105 12 58
3 104 13 60
1 103 14 59
2 105 13 61
3 101 14 63
1 102 14 62
2 106 14 63
3 104 15 65
1 104 13 59
2 109 13 59
3 107 13 61
1 106 15 60
2 107 14 61
3 107 13 62
1 106 13 62
2 108 14 64
3 106 14 64
1 107 13 60
2 111 14 61
3 109 14 61
1 108 12 62
2 108 13 63
3 107 14 65
1 109 13 64
2 111 13 65
3 109 14 63
1 111 13 63
2 113 14 64
3 111 14 66
1 110 13 59
2 114 13 62
3 111 14 62
1 113 13 63
2 114 14 60
3 112 13 64
