x1    x2   y 
.228 .802 -1.359           
.821 .771 .193           
.495 .758 -.165           
.678 .452 -.473           
.727 .845 -.563           
.458 .084 -2.218           
.002 .295 -5.586           
.231 .546 -1.315           
.631 .017 -3.879           
.811 .223 -1.377           
.050 .161 -2.539           
.483 .836 -.324           
.116 .930 -1.530           
.456 .185 -1.151           
.358 .485 -.951          
.258 .249 -1.695 
.767 .511 -.649
.487 .425 -.270
.748 .817 .031
.695 .958 -.125
.981 .021 -3.633
.429 .277 -.773
.664 .129 -1.678
.059 .906 -2.301
.758 .145 -2.270
.823 .006 -5.150
.682 .521 -.253
.440 .495 -.614
.342 .092 -2.089
.162 .934 -1.275
