veh_value,exposure,clm,numclaims,claimcst0,veh_body,veh_age,gender,area,agecat,veh_value_2,valcat
1.06,.30390143737128,0,0,0,HBACK,3,F,C,2,1.1236,1
1.03,.648870636548963,0,0,0,HBACK,2,F,A,4,1.0609,1
3.26,.569472963717999,0,0,0,UTE,2,F,E,2,10.6276,2
4.14,.317590691305668,0,0,0,STNWG,2,F,D,2,17.1396,2
.72,.648870636547372,0,0,0,HBACK,4,F,C,2,.5184,1
2.01,.854209445584274,0,0,0,HDTOP,3,M,C,4,4.0401,1
1.6,.854209445584274,0,0,0,PANVN,3,M,A,4,2.56,1
1.47,.555783709787647,0,0,0,HBACK,2,M,B,6,2.1609,1
.52,.3613963038988,0,0,0,HBACK,4,F,A,3,.2704,1
.38,.520191649549417,0,0,0,HBACK,4,F,B,4,.1444,1
1.38,.854209445584274,0,0,0,HBACK,2,M,A,2,1.9044,1
1.22,.854209445584274,0,0,0,HBACK,3,M,C,4,1.4884,1
1,.492813141681836,0,0,0,HBACK,2,F,C,4,1,1
7.04,.314852840518824,0,0,0,STNWG,1,M,A,5,49.5616,3
1.66,.484599589319259,1,1,669.509999275208,SEDAN,3,M,B,6,2.7556,1
2.35,.391512662557943,0,0,0,SEDAN,2,M,C,4,5.5225,1
1.51,.993839835726249,1,1,806.609998703003,SEDAN,3,F,F,4,2.2801,1
.76,.539356605064313,1,1,401.805451393127,HBACK,3,M,C,4,.5776,1
.27,.451745379876229,0,0,0,HBACK,4,F,D,2,.0729,1
.89,.594113620805729,0,0,0,HBACK,3,F,C,3,.7921,1
1.95,.594113620805729,0,0,0,HBACK,1,M,A,1,3.8025,1
.39,.536618754274969,0,0,0,SEDAN,4,M,C,5,.1521,1
3.86,.594113620805729,0,0,0,STNWG,2,F,B,2,14.8996,2
1.37,.591375770018203,0,0,0,HBACK,1,F,B,1,1.8769,1
1.3,.999315537297662,0,0,0,HBACK,2,F,A,2,1.69,1
1.44,.0301163586582334,0,0,0,HBACK,2,F,C,1,2.0736,1
1.349,.462696783022693,0,0,0,HBACK,1,F,C,5,1.819801,1
1.39,.317590691305668,0,0,0,HBACK,3,F,C,2,1.9321,1
1,.287474332646525,0,0,0,STNWG,4,M,C,3,1,1
1.51,.0684462696781338,0,0,0,HBACK,2,F,C,2,2.2801,1
4.45,.594113620805729,0,0,0,STNWG,1,F,C,3,19.8025,2
2.17,.536618754274969,0,0,0,SEDAN,2,F,A,4,4.7089,1
.87,.854209445584274,0,0,0,HBACK,3,M,D,3,.7569,1
4.09,.848733744009223,0,0,0,UTE,1,M,A,2,16.7281,2
1.31,.405201916491933,0,0,0,HBACK,2,M,C,1,1.7161,1
1.9,.854209445584274,0,0,0,SEDAN,1,F,A,4,3.61,1
2.42,.577686516080576,0,0,0,SEDAN,1,F,A,4,5.8564,1
1.05,.421629021217086,0,0,0,HDTOP,4,F,C,6,1.1025,1
1.42,.594113620805729,0,0,0,TRUCK,3,M,D,4,2.0164,1
3,.854209445584274,0,0,0,STNWG,3,M,B,3,9,2
1.89,.654346338124014,1,2,1811.70999717712,STNWG,3,M,F,2,3.5721,1
