veh_value,exposure,clm,numclaims,claimsize,veh_body,veh_age,gender,area,agecat,valcat
1.66,.484599589319259,1,1,669.509999275208,SEDAN,3,M,B,6,1
1.51,.993839835726249,1,1,806.609998703003,SEDAN,3,F,F,4,1
.76,.539356605064313,1,1,401.805451393127,HBACK,3,M,C,4,1
1.89,.654346338124014,1,2,1811.70999717712,STNWG,3,M,F,2,1
4.06,.851471594795839,1,1,5434.43998718262,STNWG,2,M,F,3,2
1.39,.317590691305668,1,1,865.789999008179,HBACK,3,F,A,4,1
2.66,.317590691305668,1,1,1105.76999855042,STNWG,1,F,F,5,2
.5,.0711841204652615,1,1,200,HBACK,4,F,A,5,1
1.16,.596851471592856,1,2,739.229999542236,STNWG,4,F,B,2,1
3.56,.906228610539983,1,1,3230.59999847412,MCARA,3,M,F,4,2
2.15,.654346338124014,1,1,200,SEDAN,3,F,A,5,1
3.03,.903490759752458,1,1,200,TRUCK,1,M,C,1,2
2.41,.339493497601836,1,1,407.839999675751,STNWG,3,M,E,1,1
1.72,.616016427098657,1,1,1619.82999801636,STNWG,2,F,A,6,1
1.92,.616016427098657,1,1,1010.91999816895,STNWG,4,M,A,5,1
2.649,.257357973987382,1,1,9424.34997558594,TRUCK,1,M,A,1,2
1.86,.616016427104114,1,1,238.640000343323,SEDAN,2,F,C,3,1
1.54,.616016427098657,1,1,200,STNWG,2,F,B,3,1
1.88,.75017111566558,1,1,369.179999828339,PANVN,3,M,D,3,1
.89,.684462696779519,1,1,353.769999980927,SEDAN,3,F,D,3,1
4.46,.191649555099104,1,1,989.919998168945,COUPE,2,M,B,2,2
4.32,.646132785761438,1,1,736.849998474121,STNWG,2,M,A,5,2
5.59,.851471594796749,1,1,369.14999961853,STNWG,1,M,C,3,3
1.44,.665297741266443,1,1,500,UTE,4,M,F,2,1
2.81,.851471594796749,1,1,353.769999980927,STNWG,1,M,C,3,2
3,.613278576311131,1,1,6372.0299987793,STNWG,3,F,C,2,2
2.29,.353182751539862,1,1,500,STNWG,4,F,F,4,1
.39,.925393566045386,1,1,1379.03999710083,SEDAN,4,F,C,6,1
1.29,.925393566045386,1,1,200,SEDAN,3,M,D,3,1
1.13,.377823408623556,1,1,937.559995651245,SEDAN,4,F,B,1,1
0,.999315537297662,1,2,2724.33999633789,STNWG,4,M,A,3,1
2.41,.750171115672458,1,1,12879.6599731445,HBACK,1,F,B,3,1
3.47,.246406570840918,1,1,937.279998779297,SEDAN,1,M,B,3,2
3.14,.851471594791064,1,2,19142.1326751709,TRUCK,3,M,C,1,2
1.98,.911704312107759,1,1,2659.36999511719,STNWG,4,M,C,6,1
3.3,.906228610539983,1,1,2349.34999847412,STNWG,2,M,A,5,2
.62,.908966461327509,1,1,367.729999542236,STNWG,4,M,C,6,1
2.64,.525667351128959,1,1,462.699998855591,UTE,2,F,C,1,2
7.199,.999315537295843,1,1,782.359998703003,STNWG,1,F,C,1,3
1.65,.0876112251880841,1,1,353.769999980927,STNWG,4,M,C,5,1
.51,.911704312107759,1,1,2494.59999847412,HBACK,4,F,B,6,1
1.749,.413415468854112,1,1,13589.7899475098,HBACK,1,F,A,2,1
2.39,.908966461327509,1,1,2981.80999755859,HDTOP,2,M,C,4,1
