gender,age,deaths,popn,l_popn,agemidpt
Male,<25,3,1141100,13.94750327,20
Male,25-34,0,485571,13.0930808,30
Male,35-44,12,504312,13.1309504,40
Male,45-54,25,447315,13.01101832,50
Male,55-64,61,330902,12.70957754,60
Male,65-74,130,226403,12.33007188,70
Male,75-84,192,130527,11.77933538,80
Male,85+,102,29785,10.30176019,90
Female,<25,2,1086408,13.8983874,20
Female,25-34,1,489948,13.10205454,30
Female,35-44,3,504030,13.13039107,40
Female,45-54,11,445763,13.0075427,50
Female,55-64,30,323669,12.68747667,60
Female,65-74,63,241488,12.39457506,70
Female,75-84,174,179686,12.09896616,80
Female,85+,159,67203,11.11547317,90
