나이,성별,결혼,종교,학위,부서,이직계획유무,건강상태,근무지역,공감_tot,공감_com,공감_sen,공감_ins,이직여부,이직퇴직여부,임상경력일,병동경력일,최종임상경력일,최종병동경력일_참고만,최종임상경력월,최종임상경력월_소수점반올림,최종임상경력년,년차_2
27,2,2,1,1,1,2,2,3,3.647058824,3.625,3.6,3.75,0,0,2460,1125,2460,1125,82,82,7,4
26,2,2,1,2,2,1,2,1,3.705882353,4,3.4,3.5,0,0,910,910,910,910,30.33333333,30,3,2
34,2,2,5,1,1,1,4,1,3,2.75,3.2,3.25,0,0,4165,4165,4165,4165,138.8333333,139,12,4
24,2,2,2,2,1,1,3,1,3.235294118,3.25,3.2,3.25,0,0,180,180,180,180,6,6,1,1
30,2,2,1,1,2,1,2,1,3.941176471,3.75,4,4.25,0,0,3920,2310,3920,2310,130.6666667,131,11,4
26,2,2,2,2,2,2,3,1,3.705882353,3.625,4,3.5,0,0,1395,605,1395,605,46.5,47,4,3
29,2,2,2,1,2,2,2,1,3.764705882,3.75,4,3.5,0,0,2920,2920,2920,2920,97.33333333,97,9,4
25,2,2,5,2,1,1,2,4,4.117647059,3.875,4.8,3.75,0,0,850,850,850,850,28.33333333,28,3,2
33,2,2,5,2,2,2,2,1,3.117647059,3,3.4,3,0,0,3315,2950,3315,2950,110.5,111,10,4
30,2,2,5,2,2,1,2,1,5,5,5,5,0,0,1215,1215,1215,1215,40.5,41,4,3
35,2,2,2,2,2,1,3,1,3.941176471,3.625,4.4,4,1,1,4345,485,4194,334,139.8,140,12,4
33,2,1,3,1,1,2,2,1,3.647058824,3.5,4,3.5,0,0,2250,1095,2250,1095,75,75,7,4
30,2,2,2,2,1,1,2,1,4.294117647,4.625,4,4,0,0,4285,2585,4285,2585,142.8333333,143,12,4
26,2,2,2,2,1,1,2,1,3.882352941,3.875,4.2,3.5,0,0,2585,1550,2585,1550,86.16666667,86,8,4
32,2,2,5,2,1,2,2,1,3.764705882,3.625,4,3.75,0,0,2920,1125,2920,1125,97.33333333,97,9,4
28,2,1,5,2,1,1,2,5,3.470588235,3.125,3.8,3.75,0,0,1610,515,1610,515,53.66666667,54,6,3
32,2,2,5,2,1,1,2,1,3.941176471,4,4,3.75,0,0,3680,970,3680,970,122.6666667,123,11,4
37,2,1,1,3,2,1,2,3,3.470588235,3.375,4,3,0,0,5475,365,5475,365,182.5,183,16,4
32,2,2,5,1,2,1,3,4,3.882352941,3.75,4.4,3.5,0,0,4045,1030,4045,1030,134.8333333,135,12,4
30,2,1,5,2,2,1,2,1,3.823529412,3.875,3.6,4,0,0,3220,1030,3220,1030,107.3333333,107,9,4
38,2,1,5,2,2,2,2,1,3.117647059,2.75,4.2,2.5,0,0,4345,4345,4345,4345,144.8333333,145,13,4
36,1,2,5,1,2,1,2,1,3.647058824,3.625,3.8,3.5,0,0,2765,1185,2765,1185,92.16666667,92,8,4
28,2,2,1,2,1,2,1,5,4.823529412,4.75,5,4.75,0,0,1095,1095,1095,1095,36.5,37,4,3
31,2,2,3,2,2,1,2,1,3.588235294,3.5,3.6,3.75,0,0,1825,1825,1825,1825,60.83333333,61,7,3
34,2,1,3,1,1,1,2,1,3.411764706,3,4,3.5,0,0,2310,1215,2310,1215,77,77,7,4
29,2,2,5,2,1,2,1,1,3.882352941,3.875,4,3.75,0,0,1885,1365,1885,1365,62.83333333,63,7,3
28,2,2,2,2,2,2,2,1,4.647058824,4.75,4.6,4.5,0,0,760,760,760,760,25.33333333,25,3,2
40,2,1,1,2,2,1,2,1,3.941176471,3.5,4.8,3.75,0,0,2705,1095,2705,1095,90.16666667,90,8,4
29,2,1,5,1,1,1,3,5,3.294117647,3.125,3.4,3.5,0,0,3285,365,3285,365,109.5,110,10,4
27,2,2,5,2,1,2,3,1,3.529411765,3.25,3.6,4,0,0,2250,1730,2250,1730,75,75,7,4
35,2,2,5,2,2,2,2,1,3.882352941,3.75,4,4,0,0,2520,2520,2520,2520,84,84,7,4
28,2,2,5,2,2,1,2,1,3.823529412,3.375,4.4,4,0,0,2645,790,2645,790,88.16666667,88,8,4
36,2,2,1,2,2,2,2,1,3.647058824,3.625,4,3.25,0,0,3220,485,3220,485,107.3333333,107,9,4
28,2,2,2,1,1,1,2,1,3.705882353,3.75,3.6,3.75,0,0,1855,1825,1855,1825,61.83333333,62,7,3
26,2,2,5,2,1,1,3,1,4.294117647,4.375,4.6,3.75,0,0,1185,1185,1185,1185,39.5,40,4,3
31,2,2,5,2,1,1,3,1,4.058823529,4,4.2,4,0,0,3650,730,3650,730,121.6666667,122,11,4
29,2,1,5,2,2,1,2,1,4.117647059,4.125,4.6,3.5,0,0,1095,1095,1095,1095,36.5,37,4,3
31,2,2,1,3,2,2,2,1,3.764705882,4,3.6,3.5,0,0,2920,970,2920,970,97.33333333,97,9,4
35,2,1,1,1,1,1,3,4,2.529411765,2.625,2.8,2,1,1,3680,760,3025,105,100.8333333,101,9,4
26,2,1,1,2,1,2,2,1,4.235294118,4,4.4,4.5,0,0,1095,330,1095,330,36.5,37,4,3
30,2,1,1,1,1,1,2,1,3.705882353,3.5,4,3.75,0,0,2220,2220,2220,2220,74,74,7,4
31,2,2,2,2,1,1,3,5,3.176470588,3.25,3.2,3,0,0,2705,365,2705,365,90.16666667,90,8,4
32,2,1,3,2,2,1,3,5,3.588235294,3.375,4.2,3.25,0,0,3680,425,3680,425,122.6666667,123,11,4
30,2,1,5,2,1,1,3,1,3.529411765,3.375,3.6,3.75,0,1,3950,2250,3879,2179,129.3,129,11,4
26,2,2,5,2,2,2,2,1,3.764705882,3.375,4.4,3.75,0,0,760,455,760,455,25.33333333,25,3,2
27,2,2,5,2,1,2,3,5,2.882352941,3.125,2.8,2.5,0,0,2585,1125,2585,1125,86.16666667,86,8,4
31,2,2,5,2,2,2,2,1,4.117647059,4.125,4.2,4,0,0,2340,1185,2340,1185,78,78,7,4
38,2,1,1,2,1,2,2,1,3.764705882,3.75,4.2,3.25,0,0,3650,850,3650,850,121.6666667,122,11,4
32,2,2,1,2,2,2,1,1,3.294117647,3.125,3.8,3,0,0,2190,1460,2190,1460,73,73,7,4
25,2,2,2,2,1,1,2,1,4.352941176,4.5,4.2,4.25,0,0,180,180,180,180,6,6,1,1
25,2,2,1,2,1,2,3,1,3.647058824,3.625,3.6,3.75,0,0,1245,1215,1245,1215,41.5,42,4,3
25,2,2,5,2,1,2,3,1,3.764705882,3.875,3.8,3.5,1,1,1490,425,1459,394,48.63333333,49,6,3
26,2,2,4,2,1,1,2,1,3.882352941,3.875,4,3.75,0,0,365,365,365,365,12.16666667,12,1,1
27,2,2,1,2,2,1,1,1,3.941176471,3.875,4,4,0,0,90,90,90,90,3,3,1,1
27,2,2,1,2,1,2,1,1,4.882352941,5,4.6,5,0,0,90,90,90,90,3,3,1,1
46,2,1,1,1,2,2,2,1,3.764705882,3.75,3.8,3.75,0,0,4165,850,4165,850,138.8333333,139,12,4
24,2,2,5,2,2,1,2,4,3.529411765,3.5,3.8,3.25,0,0,485,300,485,300,16.16666667,16,2,2
27,2,2,2,2,1,1,4,3,3.764705882,3.5,3.8,4.25,1,1,1730,455,1387,112,46.23333333,46,4,3
29,2,2,1,2,1,2,3,1,3.764705882,3.875,3.8,3.5,0,0,2555,365,2555,365,85.16666667,85,8,4
26,2,2,1,2,1,2,3,1,3.647058824,3.75,3.8,3.25,0,0,1185,455,1185,455,39.5,40,4,3
28,2,2,1,1,1,1,3,4,4.588235294,4.5,4.6,4.75,0,0,2220,1700,2220,1700,74,74,7,4
28,1,2,2,1,1,1,4,1,3.529411765,3.125,4.4,3.25,1,1,1855,485,1705,335,56.83333333,57,6,3
30,2,2,5,2,2,2,3,1,4.058823529,4.125,4,4,0,0,2645,395,2645,395,88.16666667,88,8,4
28,2,1,5,2,2,1,3,1,3.058823529,3,3.4,2.75,1,1,3680,1125,3001,446,100.0333333,100,9,4
27,2,2,1,2,1,2,1,1,3.411764706,3.25,4.2,2.75,0,0,1855,1490,1855,1490,61.83333333,62,7,3
26,2,2,5,1,1,1,2,5,3.764705882,4,3.6,3.5,0,0,2585,2400,2585,2400,86.16666667,86,8,4
27,2,2,5,1,2,1,1,1,3.352941176,3.25,3.4,3.5,0,0,2855,1490,2855,1490,95.16666667,95,8,4
27,2,2,5,2,2,1,2,1,3.117647059,3.5,2.8,2.75,0,0,1275,1490,1275,1490,42.5,43,4,3
30,2,2,5,1,1,2,2,6,4.117647059,4,4.6,3.75,0,0,3285,3285,3285,3285,109.5,110,10,4
31,2,1,2,2,2,1,3,1,4.411764706,4.375,4.6,4.25,0,0,1550,1155,1550,1155,51.66666667,52,6,3
24,2,2,1,2,1,1,2,2,3.647058824,3.75,3.6,3.5,0,0,605,120,605,120,20.16666667,20,2,2
24,2,2,5,2,1,1,3,3,3.764705882,3.75,4,3.5,0,0,1855,1855,1855,1855,61.83333333,62,7,3
38,2,2,5,1,1,2,2,1,3.647058824,3.75,3.8,3.25,0,0,4345,2220,4345,2220,144.8333333,145,13,4
33,2,2,5,1,2,2,2,1,3.647058824,3.375,3.8,4,0,0,3375,455,3375,455,112.5,113,10,4
24,2,2,1,2,1,1,2,1,4.058823529,4.375,3.4,4.25,0,0,270,120,270,120,9,9,1,1
25,2,2,4,2,1,2,3,2,2.941176471,3,3,2.75,0,0,2340,2005,2340,2005,78,78,7,4
30,2,2,1,2,2,1,3,1,3.764705882,3.75,3.6,4,1,1,3315,575,3019,279,100.6333333,101,9,4
26,2,2,5,2,1,1,2,4,4,4.25,3.8,3.75,0,0,1825,730,1825,730,60.83333333,61,7,3
28,2,2,1,2,2,1,3,1,3.882352941,3.875,3.4,4.5,0,0,2855,240,2855,240,95.16666667,95,8,4
26,2,2,5,2,1,1,2,1,3.705882353,3.625,4,3.5,0,0,1550,970,1550,970,51.66666667,52,6,3
25,2,2,3,2,1,1,2,3,3.705882353,3.75,3.8,3.5,1,1,1490,515,1019,44,33.96666667,34,3,2
35,2,1,1,1,2,1,2,3,4.176470588,4.125,4,4.5,0,0,4075,4075,4075,4075,135.8333333,136,12,4
25,2,2,5,2,2,1,2,1,4,3.75,4.2,4.25,0,0,1825,1825,1825,1825,60.83333333,61,7,3
26,2,2,5,2,2,2,3,1,3.823529412,3.875,3.8,3.75,0,0,575,455,575,455,19.16666667,19,2,2
32,2,1,1,2,1,1,2,1,4.352941176,4.25,4.4,4.5,0,0,3890,1000,3890,1000,129.6666667,130,11,4
