나이,성별,결혼,종교,학위,부서,이직계획유무,건강상태,근무지역,공감_tot,공감_com,공감_sen,공감_ins,이직여부,이직+퇴직여부,임상경력(일),병동경력(일),최종임상경력(일),최종병동경력(일)_참고만,최종임상경력(월),최종임상경력(월)_소수점 반올림,최종임상경력(년),년차_2
27,2,2,1,1,1,2,2,3,3.65,3.63,3.6,3.75,0,0,2460,1125,2460,1125,82,82,7,4
30,2,2,1,1,2,1,2,1,3.94,3.75,4,4.25,0,0,3920,2310,3920,2310,131,131,11,4
33,2,2,5,2,2,2,2,1,3.12,3,3.4,3,0,0,3315,2950,3315,2950,111,111,10,4
35,2,2,2,2,2,1,3,1,3.94,3.63,4.4,4,1,1,4345,485,4194,334,140,140,12,4
30,2,2,2,2,1,1,2,1,4.29,4.63,4,4,0,0,4285,2585,4285,2585,143,143,12,4
26,2,2,2,2,1,1,2,1,3.88,3.88,4.2,3.5,0,0,2585,1550,2585,1550,86,86,8,4
32,2,2,5,2,1,1,2,1,3.94,4,4,3.75,0,0,3680,970,3680,970,123,123,11,4
32,2,2,5,1,2,1,3,4,3.88,3.75,4.4,3.5,0,0,4045,1030,4045,1030,135,135,12,4
38,2,1,5,2,2,2,2,1,3.12,2.75,4.2,2.5,0,0,4345,4345,4345,4345,145,145,13,4
28,2,2,5,2,2,1,2,1,3.82,3.38,4.4,4,0,0,2645,790,2645,790,88,88,8,4
35,2,1,1,1,1,1,3,4,2.53,2.63,2.8,2,1,1,3680,760,3025,105,101,101,9,4
32,2,1,3,2,2,1,3,5,3.59,3.38,4.2,3.25,0,0,3680,425,3680,425,123,123,11,4
30,2,1,5,2,1,1,3,1,3.53,3.38,3.6,3.75,0,1,3950,2250,3879,2179,129,129,11,4
27,2,2,5,2,1,2,3,5,2.88,3.13,2.8,2.5,0,0,2585,1125,2585,1125,86,86,8,4
46,2,1,1,1,2,2,2,1,3.76,3.75,3.8,3.75,0,0,4165,850,4165,850,139,139,12,4
27,2,2,2,2,1,1,4,3,3.76,3.5,3.8,4.25,1,1,1730,455,1387,112,46,46,4,3
28,2,1,5,2,2,1,3,1,3.06,3,3.4,2.75,1,1,3680,1125,3001,446,100,100,9,4
27,2,2,1,2,1,2,1,1,3.41,3.25,4.2,2.75,0,0,1855,1490,1855,1490,62,62,7,3
26,2,2,5,1,1,1,2,5,3.76,4,3.6,3.5,0,0,2585,2400,2585,2400,86,86,8,4
27,2,2,5,1,2,1,1,1,3.35,3.25,3.4,3.5,0,0,2855,1490,2855,1490,95,95,8,4
27,2,2,5,2,2,1,2,1,3.12,3.5,2.8,2.75,0,0,1275,1490,1275,1490,43,43,4,3
30,2,2,1,2,2,1,3,1,3.76,3.75,3.6,4,1,1,3315,575,3019,279,101,101,9,4
26,2,2,5,2,1,1,2,1,3.71,3.63,4,3.5,0,0,1550,970,1550,970,52,52,6,3
25,2,2,3,2,1,1,2,3,3.71,3.75,3.8,3.5,1,1,1490,515,1019,44,34,34,3,2
