나이,성별,결혼,종교_최종,학위_최종,부서,이직계획유무,건강상태_최종,근무지역_최종,공감_tot,공감_com,공감_sen,공감_ins,이직여부,이직+퇴직여부,임상경력(일),최종임상경력(일),최종임상경력(월),최종임상경력(년),병동경력(일),년차_최종,연차별시작문항응답,연차별최종문항응답
27,2,2,1,1,1,2,1,2,3.65,3.63,3.6,3.75,0,0,2460,2460,82,7,1125,3,13,13
30,2,2,1,1,2,1,1,1,3.94,3.75,4,4.25,0,0,3920,3920,131,11,2310,3,13,13
33,2,2,2,2,2,2,1,1,3.12,3,3.4,3,0,0,3315,3315,111,10,2950,3,13,13
35,2,2,1,2,2,1,2,1,3.94,3.63,4.4,4,1,1,4345,4194,140,12,485,3,13,13
30,2,2,1,2,1,1,1,1,4.29,4.63,4,4,0,0,4285,4285,143,12,2585,3,13,13
26,2,2,1,2,1,1,1,1,3.88,3.88,4.2,3.5,0,0,2585,2585,86,8,1550,3,13,13
32,2,2,2,2,1,1,1,1,3.94,4,4,3.75,0,0,3680,3680,123,11,970,3,13,13
32,2,2,2,1,2,1,2,2,3.88,3.75,4.4,3.5,0,0,4045,4045,135,12,1030,3,13,13
38,2,1,2,2,2,2,1,1,3.12,2.75,4.2,2.5,0,0,4345,4345,145,13,4345,3,13,13
28,2,2,2,2,2,1,1,1,3.82,3.38,4.4,4,0,0,2645,2645,88,8,790,3,13,13
35,2,1,1,1,1,1,2,2,2.53,2.63,2.8,2,1,1,3680,3025,101,9,760,3,123,123
32,2,1,1,2,2,1,2,2,3.59,3.38,4.2,3.25,0,0,3680,3680,123,11,425,3,13,13
30,2,1,2,2,1,1,2,1,3.53,3.38,3.6,3.75,0,1,3950,3879,129,11,2250,3,123,123
27,2,2,2,2,1,2,2,2,2.88,3.13,2.8,2.5,0,0,2585,2585,86,8,1125,3,13,13
46,2,1,1,1,2,2,1,1,3.76,3.75,3.8,3.75,0,0,4165,4165,139,12,850,3,13,13
27,2,2,1,2,1,1,2,2,3.76,3.5,3.8,4.25,1,1,1730,1387,46,4,455,2,13,13
28,2,1,2,2,2,1,2,1,3.06,3,3.4,2.75,1,1,3680,3001,100,9,1125,3,13,13
27,2,2,1,2,1,2,1,1,3.41,3.25,4.2,2.75,0,0,1855,1855,62,7,1490,2,123,123
26,2,2,2,1,1,1,1,2,3.76,4,3.6,3.5,0,0,2585,2585,86,8,2400,3,13,13
27,2,2,2,1,2,1,1,1,3.35,3.25,3.4,3.5,0,0,2855,2855,95,8,1490,3,123,123
27,2,2,2,2,2,1,1,1,3.12,3.5,2.8,2.75,0,0,1275,1275,43,4,1490,2,123,123
30,2,2,1,2,2,1,2,1,3.76,3.75,3.6,4,1,1,3315,3019,101,9,575,3,13,13
26,2,2,2,2,1,1,1,1,3.71,3.63,4,3.5,0,0,1550,1550,52,6,970,2,13,13
25,2,2,1,2,1,1,1,2,3.71,3.75,3.8,3.5,1,1,1490,1019,34,3,515,1,13,13
35,2,1,1,1,2,1,1,2,4.18,4.13,4,4.5,0,0,4075,4075,136,12,4075,3,13,13
32,2,1,1,2,1,1,1,1,4.35,4.25,4.4,4.5,0,0,3890,3890,130,11,1000,3,13,13
42,2,1,1,2,2,2,1,1,3.35,3.5,3.6,2.75,0,0,4045,4045,135,12,2460,3,13,13
28,2,2,2,2,1,2,1,1,3.76,3.63,3.8,4,0,0,3980,3980,133,12,2950,3,123,123
26,2,2,1,1,2,2,1,1,3.94,3.88,4.2,3.75,0,0,2520,2520,84,7,1640,3,13,13
29,2,1,1,2,1,1,2,2,3.35,3,4.2,3,0,0,2765,2765,92,8,1855,3,123,123
28,2,1,1,2,2,2,2,1,3.71,3.5,4,3.75,1,1,2220,2114,70,7,395,2,123,123
31,2,1,2,2,2,1,2,1,3.47,3.13,4.2,3.25,0,0,2220,2220,74,7,1490,3,13,13
26,2,2,2,2,1,1,2,1,3.71,3.88,3.6,3.5,0,0,1245,1245,42,4,790,2,123,123
28,2,1,1,2,2,2,1,2,3.76,3.5,4,4,0,0,3250,3250,108,9,1245,3,123,123
29,2,1,1,2,1,1,1,1,3.59,3,4.6,3.5,1,1,2065,1352,45,4,665,2,13,13
39,2,1,1,2,1,1,2,2,4,4.13,4,3.75,0,0,3315,3315,111,10,2220,3,123,123
27,2,2,2,2,2,1,1,1,3.65,3.38,4,3.75,1,1,2585,1944,65,7,545,2,123,123
50,2,1,2,1,1,1,1,1,3.06,3.25,2.8,3,0,0,3010,3010,100,9,1580,3,123,123
24,2,2,2,2,2,1,1,1,3.47,3.75,3.6,2.75,0,0,1550,1550,52,6,1395,2,13,13
27,2,2,2,2,1,1,1,1,3.47,3.63,3.4,3.25,1,1,2615,1875,63,7,1215,2,123,123
26,2,2,2,2,1,1,1,1,3.53,3.63,3.6,3.25,1,1,1125,530,18,2,485,1,123,123
40,2,2,1,2,1,1,2,1,4,4.5,3.6,3.5,1,1,4045,3698,123,11,665,3,13,13
43,2,1,1,1,1,2,1,2,4,4,4.4,3.5,0,0,4045,4045,135,12,1490,3,13,13
31,2,2,2,1,1,1,1,1,3.65,3.63,4,3.25,0,0,2980,2980,99,9,2370,3,13,13
25,2,2,2,2,2,1,2,2,3,3.13,2.8,3,0,0,1790,1790,60,6,1490,2,13,13
30,2,2,2,2,1,1,2,1,4.29,4.25,4.6,4,1,1,3435,2718,91,8,1640,3,13,13
27,2,2,2,2,2,2,1,1,3.12,3,3.4,3,1,1,1425,913,30,3,790,1,123,123
50,2,1,1,1,1,2,2,1,4.47,4.63,4.4,4.25,1,1,4075,3937,131,11,515,3,13,13
28,2,2,1,2,1,1,1,2,3.53,3.88,3.4,3,1,1,2250,1535,51,6,395,2,123,123
26,2,2,2,2,2,2,1,1,3.47,3.88,3.4,2.75,0,0,1975,1975,66,7,1550,2,13,13
34,2,1,2,1,2,1,2,2,4.18,4.25,4.2,4,1,1,3250,2851,95,8,485,3,123,123
34,2,2,1,2,1,2,1,1,3.76,3.5,4.2,3.75,1,1,4345,4115,137,12,605,3,13,13
28,2,2,2,2,1,1,1,1,3.71,3.5,4,3.75,0,0,2795,2795,93,8,1490,3,123,123
